source_domain,chart,region,date,position,title,artist,url,scraped_at
billboard.com,Greatest of All Time Hot 100 Singles,US,,61,End Of The Road,Boyz II Men,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,62,Perfect,Ed Sheeran,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,63,Boom Boom Pow,The Black Eyed Peas,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,64,Call Me,Blondie,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,65,Let Me Love You,Mario,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,66,Stayin' Alive,Bee Gees,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,67,Lady,Kenny Rogers,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,68,Tik Tok,Ke$ha,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,69,I'm A Believer,The Monkees,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,70,Gold Digger,Kanye West Featuring Jamie Foxx,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,71,Apologize,Timbaland Featuring OneRepublic,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,72,The Sign,Ace of Base,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,73,Centerfold,The J. Geils Band,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,74,All About That Bass,Meghan Trainor,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,75,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,76,(Just Like) Starting Over,John Lennon,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,77,Royals,Lorde,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,78,The Boy Is Mine,Brandy & Monica,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,79,Because I Love You (The Postman Song),Stevie B,,2025-11-22T13:42:37.507466+00:00
