source,domain,chart,region,country,continent,date,position,title,artist,url,scraped_at,city,track_id,album,popularity,energy,danceability,valence,tempo,loudness,acousticness,instrumentalness,speechiness,liveness
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Celebrity,IU,,2025-11-28T03:10:11.431570,,,IU 5th Album 'LILAC',62,0.784,0.73,0.673,99.995,-2.62,0.191,0.0,0.0691,0.0956
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Alcohol-Free,TWICE,,2025-11-28T03:10:11.431570,,,Taste of Love,65,0.909,0.688,0.702,97.097,-1.992,0.0474,1.35e-06,0.0624,0.0674
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Blueming,IU,,2025-11-28T03:10:11.431570,,,Love poem,64,0.674,0.819,0.682,106.032,-3.145,0.0849,0.0,0.0587,0.0667
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,ASAP,STAYC,,2025-11-28T03:10:11.431570,,,STAYDOM,61,0.802,0.764,0.323,132.02,-4.217,0.102,0.0,0.0351,0.189
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Lilac,IU,,2025-11-28T03:10:11.431570,,,IU 5th Album 'LILAC',65,0.89,0.738,0.75,114.942,-2.275,0.0895,1.89e-06,0.0748,0.213
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,LO$ER=LO♡ER,TOMORROW X TOGETHER,,2025-11-28T03:10:11.431570,,,The Chaos Chapter: FIGHT OR ESCAPE,68,0.867,0.644,0.687,124.997,-4.18,0.001,0.0,0.0383,0.105
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Lovesick Girls (JP Ver.),BLACKPINK,,2025-11-28T03:10:11.431570,,,THE ALBUM,44,0.732,0.658,0.409,127.995,-4.762,0.00513,0.0,0.0654,0.13
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,PING PONG,HyunA&DAWN,,2025-11-28T03:10:11.431570,,,1+1=1,54,0.87,0.855,0.863,103.028,-2.059,0.0122,0.000675,0.0826,0.0202
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Black Mamba,aespa,,2025-11-28T03:10:11.431570,,,Black Mamba,65,0.915,0.52,0.5,90.069,-2.862,0.0618,0.000946,0.103,0.0856
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Tamed-Dashed,ENHYPEN,,2025-11-28T03:10:11.431570,,,DIMENSION : DILEMMA,65,0.809,0.568,0.709,155.029,-3.869,0.000253,3.33e-05,0.0517,0.151
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Rock with you,SEVENTEEN,,2025-11-28T03:10:11.431570,,,SEVENTEEN 9th Mini Album 'Attacca',69,0.816,0.621,0.694,163.966,-5.242,0.0966,0.0,0.104,0.134
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,I'm a B,Hwa Sa,,2025-11-28T03:10:11.431570,,,Guilty Pleasure,57,0.77,0.711,0.927,139.968,-4.724,0.135,8.9e-06,0.0826,0.18
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Drawer,10cm,,2025-11-28T03:10:11.431570,,,"Our Beloved Summer (Original Television Soundtrack), Pt.1",61,0.469,0.359,0.259,84.366,-8.06,0.745,0.0,0.0326,0.101
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Goat,Sidhu Moose Wala,,2025-11-28T03:10:11.431570,,,Moosetape,59,0.728,0.724,0.47,172.059,-4.146,0.0459,5.84e-06,0.218,0.122
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,A-O-K,Tai Verdes,,2025-11-28T03:10:11.431570,,,TV,68,0.626,0.731,0.862,82.488,-6.919,0.125,0.0,0.0805,0.183
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Luna,Diljit Dosanjh,,2025-11-28T03:10:11.431570,,,MoonChild Era,53,0.684,0.814,0.893,120.038,-7.962,0.0426,1.37e-05,0.0438,0.0571
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Champagne,Diljit Dosanjh,,2025-11-28T03:10:11.431570,,,MoonChild Era,56,0.588,0.757,0.344,84.968,-6.383,0.252,0.0,0.12,0.0701
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,SHORTY QUE TE VAYA BN <3,Rels B,,2025-11-28T03:10:11.431570,,,SHORTY QUE TE VAYA BN <3,68,0.527,0.68,0.192,88.958,-6.748,0.232,0.000402,0.11,0.115
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Parshawan,Harnoor,,2025-11-28T03:10:11.431570,,,Parshawan,57,0.44,0.799,0.43,90.006,-7.422,0.559,0.0,0.061,0.105
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,295,Sidhu Moose Wala,,2025-11-28T03:10:11.431570,,,Moosetape,67,0.794,0.557,0.432,91.366,-5.698,0.179,0.0,0.2,0.106
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Top Notch Gabru,Vicky,,2025-11-28T03:10:11.431570,,,Top Notch Gabru,58,0.77,0.716,0.924,170.045,-4.071,0.144,0.0,0.158,0.0211
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Black & White,Diljit Dosanjh,,2025-11-28T03:10:11.431570,,,MoonChild Era,56,0.683,0.712,0.526,83.935,-6.965,0.323,6.84e-06,0.0926,0.171
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Vibe,Diljit Dosanjh,,2025-11-28T03:10:11.431570,,,MoonChild Era,58,0.632,0.706,0.625,87.993,-7.172,0.00713,0.0,0.0705,0.129
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Chitta,Manan Bhardwaj,,2025-11-28T03:10:11.431570,,,Shiddat,63,0.494,0.412,0.496,169.93,-9.282,0.706,0.0,0.0536,0.0772
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Kina Chir,The PropheC,,2025-11-28T03:10:11.431570,,,The Lifestyle,66,0.431,0.622,0.365,117.919,-8.26,0.0955,0.0,0.0293,0.088
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,We Rollin,Shubh,,2025-11-28T03:10:11.431570,,,We Rollin,70,0.504,0.82,0.275,85.016,-9.113,0.261,7e-06,0.141,0.104
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Elevated,Shubh,,2025-11-28T03:10:11.431570,,,Elevated,71,0.533,0.828,0.605,93.021,-5.779,0.214,2.8e-05,0.091,0.307
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Offshore(feat.Thiarajxtt),Shubh,,2025-11-28T03:10:11.431570,,,Offshore,,0.346,0.801,0.653,159.986,-13.455,0.0468,0.00169,0.252,0.112
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,It's You,Ali Gatie,,2025-11-28T03:10:11.431570,,,YOU,77,0.463,0.732,0.397,95.971,-6.972,0.374,0.0,0.0287,0.194
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Steady,WizKid,,2025-11-28T03:10:11.431570,,,Made In Lagos: Deluxe Edition,56,0.511,0.735,0.755,94.972,-5.734,0.392,0.0021,0.109,0.119
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Alien Blues,Vundabar,,2025-11-28T03:10:11.431570,,,Gawk,77,0.757,0.467,0.433,82.282,-5.093,0.0807,0.908,0.033,0.0876
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Ramenez la coupe à la maison,Vegedream,,2025-11-28T03:10:11.431570,,,Marchand de sable,67,0.661,0.808,0.804,107.992,-6.237,0.0358,0.0,0.0395,0.138
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,怪物,YOASOBI,,2025-11-28T03:10:11.431570,,,怪物,68,0.824,0.627,0.774,169.935,-3.419,0.0699,6.57e-05,0.118,0.31
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,踊,Ado,,2025-11-28T03:10:11.431570,,,狂言,59,0.962,0.709,0.767,128.013,-0.753,0.153,1.77e-06,0.106,0.621
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Film out,BTS,,2025-11-28T03:10:11.431570,,,Film out,64,0.709,0.499,0.314,164.032,-6.404,0.296,0.0,0.134,0.331
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,水平線,back number,,2025-11-28T03:10:11.431570,,,水平線,74,0.75,0.419,0.436,145.867,-3.546,0.011,0.0,0.0316,0.159
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,海のリビング,鈴木鈴木,,2025-11-28T03:10:11.431570,,,J-Pop 輕旅行,45,0.846,0.652,0.762,97.998,-4.005,0.0905,0.0,0.0374,0.242
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,炎,LiSA,,2025-11-28T03:10:11.431570,,,炎,62,0.685,0.477,0.308,152.04,-4.554,0.105,0.0,0.0325,0.277
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,BOY,King Gnu,,2025-11-28T03:10:11.431570,,,BOY,55,0.802,0.619,0.535,109.982,-6.618,0.0831,0.0,0.0629,0.361
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,踊り子,Vaundy,,2025-11-28T03:10:11.431570,,,踊り子,73,0.475,0.718,0.678,157.032,-11.469,0.845,0.801,0.0611,0.105
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,残響散歌,Aimer,,2025-11-28T03:10:11.431570,,,残響散歌,70,0.896,0.367,0.38,170.863,-4.002,0.000627,0.0,0.091,0.207
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,一途,King Gnu,,2025-11-28T03:10:11.431570,,,一途,69,0.964,0.5,0.662,159.971,-4.19,0.00723,6.2e-05,0.124,0.0557
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Tell Me Something Good,Ewan McVicar,,2025-11-28T03:10:11.431570,,,Tell Me Something Good,56,0.796,0.812,0.961,125.976,-10.548,0.00826,0.921,0.0356,0.365
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Happier Than Ever,ASTN,,2025-11-28T03:10:11.431570,,,Happier Than Ever,60,0.457,0.667,0.266,97.604,-6.885,0.341,0.0,0.439,0.114
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Krvn,UZI,,2025-11-28T03:10:11.431570,,,Kan,58,0.582,0.966,0.186,115.05,-6.225,0.138,1.92e-05,0.0837,0.112
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Martılar,EDIS,,2025-11-28T03:10:11.431570,,,Martılar,62,0.611,0.84,0.898,122.997,-6.904,0.0615,0.0,0.0718,0.131
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Seni Dert Etmeler,Madrigal,,2025-11-28T03:10:11.431570,,,Seni Dert Etmeler,68,0.608,0.552,0.835,88.002,-11.211,0.148,2.05e-05,0.0274,0.332
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Arıyorum,EDIS,,2025-11-28T03:10:11.431570,,,Arıyorum,62,0.73,0.442,0.381,97.062,-4.673,0.0781,5.24e-06,0.0755,0.156
