x,y,cluster,lon,lat
1797.5,283.27777099609375,cluster_1_grey,83.60000000000002,68.19541148310122
767.0,279.0,cluster_1_grey,-81.28,68.73478260869565
1430.6922607421875,284.0,cluster_1_grey,24.910761718749995,68.10434782608695
657.5,269.5,cluster_1_grey,-98.8,69.93260869565218
1323.0,266.0,cluster_1_grey,7.680000000000007,70.37391304347827
635.0,269.0,cluster_1_grey,-102.4,69.99565217391304
1179.0,262.0,cluster_1_grey,-15.360000000000014,70.87826086956522
348.5,264.5,cluster_1_grey,-148.24,70.56304347826087
1190.5,264.5,cluster_1_grey,-13.52000000000001,70.56304347826087
1300.0,257.5,cluster_1_grey,4.0,71.44565217391305
319.0,263.5,cluster_1_grey,-152.96,70.68913043478261
1433.5,255.0,cluster_1_grey,25.360000000000014,71.76086956521739
