index,source_title,source_artist,spotify_name,spotify_artists,track_id,matches,reason
116,Buy Dirt,Jordan Davis Featuring Luke Bryan,Buy Dirt,Jordan Davis;Luke Bryan,,True,Perfect match
117,After Hours,The Weeknd,After Hours,The Weeknd,2p8IUWQDrpjuFltbdgLOag,True,Perfect match
118,Lover,Taylor Swift,Lover,Taylor Swift,1dGr1c8CrMLDpV6mPbImSI,True,Perfect match
119,Middle,DJ Snake Featuring Bipolar Sunshine,Middle,DJ Snake;Bipolar Sunshine,,True,Perfect match
120,Die Young,Sleepy Hallow Featuring 347aidan,Die Young (feat. 347aidan),Sleepy Hallow;347aidan,,False,Artist matches but title differs: 'Die Young' vs 'Die Young (feat. 347aidan)'
121,Titanium,David Guetta Featuring Sia,Titanium (feat. Sia),David Guetta;Sia,,False,Artist matches but title differs: 'Titanium' vs 'Titanium (feat. Sia)'
122,Havana,Camila Cabello Featuring Young Thug,Havana (feat. Young Thug),Camila Cabello;Young Thug,,False,Artist matches but title differs: 'Havana' vs 'Havana (feat. Young Thug)'
123,I Feel It Coming,The Weeknd Featuring Daft Punk,I Feel It Coming,The Weeknd;Daft Punk,,True,Perfect match
124,Freaky Friday,Lil Dicky Featuring Chris Brown,Freaky Friday (feat. Chris Brown),Lil Dicky;Chris Brown,,False,Artist matches but title differs: 'Freaky Friday' vs 'Freaky Friday (feat. Chris Brown)'
125,Rolling In The Deep,Glee Cast Featuring Jonathan Groff,Rolling In The Deep (feat. Jonathan Groff),Glee Cast;Jonathan Groff,,False,Artist matches but title differs: 'Rolling In The Deep' vs 'Rolling In The Deep (feat. Jonathan Groff)'
126,Dream On,Glee Cast Featuring Neil Patrick Harris,Dream On (Glee Cast Version) (feat. Neil Patrick Harris),Glee Cast;Neil Patrick Harris,,False,Artist matches but title differs: 'Dream On' vs 'Dream On (Glee Cast Version) (feat. Neil Patrick Harris)'
127,Let's Go,Calvin Harris Featuring Ne-Yo,Let's Go (feat. Ne-Yo),Calvin Harris;Ne-Yo,,False,Artist matches but title differs: 'Let's Go' vs 'Let's Go (feat. Ne-Yo)'
128,No Promises,Cheat Codes Featuring Demi Lovato,No Promises (feat. Demi Lovato),Cheat Codes;Demi Lovato,,False,Artist matches but title differs: 'No Promises' vs 'No Promises (feat. Demi Lovato)'
129,Come With Me Now,KONGOS,Come with Me Now,KONGOS,2kWowW0k4oFymhkr7LmvzO,True,Perfect match
130,I Need Your Love,Calvin Harris Featuring Ellie Goulding,I Need Your Love (feat. Ellie Goulding),Calvin Harris;Ellie Goulding,,False,Artist matches but title differs: 'I Need Your Love' vs 'I Need Your Love (feat. Ellie Goulding)'
131,Bangarang,Skrillex Featuring Sirah,Bangarang (feat. Sirah),Skrillex;Sirah,,False,Artist matches but title differs: 'Bangarang' vs 'Bangarang (feat. Sirah)'
132,Slide,Calvin Harris Featuring Frank Ocean & Migos,Slide (feat. Frank Ocean & Migos),Calvin Harris;Frank Ocean;Migos,,False,Artist matches but title differs: 'Slide' vs 'Slide (feat. Frank Ocean & Migos)'
133,2 On,Tinashe Featuring ScHoolboy Q,2 On (feat. ScHoolboy Q),Tinashe;ScHoolboy Q,,False,Artist matches but title differs: '2 On' vs '2 On (feat. ScHoolboy Q)'
134,Where Them Girls At,David Guetta Featuring Flo Rida & Nicki Minaj,Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,,False,Artist matches but title differs: 'Where Them Girls At' vs 'Where Them Girls At (feat. Nicki Minaj & Flo Rida)'
135,Get Lucky,Daft Punk Featuring Pharrell Williams,Get Lucky (feat. Pharrell Williams & Nile Rodgers),Daft Punk;Pharrell Williams;Nile Rodgers,,False,Artist matches but title differs: 'Get Lucky' vs 'Get Lucky (feat. Pharrell Williams & Nile Rodgers)'
136,Here With Me,Marshmello Featuring Chvrches,Here With Me,Marshmello;CHVRCHES,,True,Perfect match
137,Can't Remember To Forget You,Shakira Featuring Rihanna,Can't Remember to Forget You (feat. Rihanna),Shakira;Rihanna,,False,Artist matches but title differs: 'Can't Remember To Forget You' vs 'Can't Remember to Forget You (feat. Rihanna)'
138,Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo;Nicki Minaj;Ty Dolla $ign,,False,Artist matches but title differs: 'Swalla' vs 'Swalla (feat. Nicki Minaj & Ty Dolla $ign)'
139,My Oh My,Camila Cabello Featuring DaBaby,My Oh My (feat. DaBaby),Camila Cabello;DaBaby,,False,Artist matches but title differs: 'My Oh My' vs 'My Oh My (feat. DaBaby)'
140,We Are Young,fun. Featuring Janelle Monae,We Are Young (feat. Janelle Monáe),fun.;Janelle Monáe,,False,Artist matches but title differs: 'We Are Young' vs 'We Are Young (feat. Janelle Monáe)'
141,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,"break up with your girlfriend, i'm bored",Ariana Grande,4kV4N9D1iKVxx1KLvtTpjS,True,Perfect match
142,No Tears Left To Cry,Ariana Grande,no tears left to cry,Ariana Grande,2qT1uLXPVPzGgFOx4jtEuo,True,Perfect match
143,Boy With Luv,BTS Featuring Halsey,Boy With Luv (feat. Halsey),BTS;Halsey,,False,Artist matches but title differs: 'Boy With Luv' vs 'Boy With Luv (feat. Halsey)'
144,All In,Lil Baby,All In,Lil Baby,0zlru783fmr588D5RY9ERU,True,Perfect match
145,I Love It,Icona Pop Featuring Charli xcx,I Love It,Icona Pop;Charli XCX,,True,Perfect match
146,I Love My Country,Florida Georgia Line,I Love My Country,Florida Georgia Line,0clSHsrHl2irBkObcLEZqS,True,Perfect match
147,On My Way To You,Cody Johnson,On My Way to You,Cody Johnson,3OjNkFFZavF89xvRqWCXmU,True,Perfect match
148,Bichota,Karol G,BICHOTA,KAROL G,1WvrDdouh6C51In1SdATbq,True,Perfect match
149,The First Noel,Gabby Barrett,The First Noel,Gabby Barrett,25W3eewfp10geV3fzWIGq3,True,Perfect match
150,Rockin' Around The Christmas Tree,Justin Bieber,Rockin' Around The Christmas Tree,Justin Bieber,19pDGIQMBBBzteNjmzzjDN,True,Perfect match
151,Willow,Taylor Swift,willow,Taylor Swift,0lx2cLdOt3piJbcaXIV74f,True,Perfect match
152,When You're Gone,Shawn Mendes,When You're Gone,Shawn Mendes,0U1W2LZVUX7qTm7dDpqxh6,True,Perfect match
153,In A Minute,Lil Baby,In A Minute,Lil Baby,31lopd32BkJBTSgYE16c5e,True,Perfect match
154,Provenza,Karol G,PROVENZA,KAROL G,3HqcNJdZ2seoGxhn0wVNDK,True,Perfect match
155,Knowing You,Kenny Chesney,Knowing You,Kenny Chesney,2EEfUuBRZA4Ax1vYcluFS0,True,Perfect match
156,Whiskey And Rain,Michael Ray,Whiskey and Rain,Michael Ray,1tf4Bfk8JIKryLpWYRvyiI,True,Perfect match
157,Bad Romance,Lady Gaga,Bad Romance,Lady Gaga,0SiywuOBRcynK0uKGWdCnn,True,Perfect match
158,Happier Than Ever,Billie Eilish,Happier Than Ever,Billie Eilish,4RVwu0g32PAqgUiJoXsdF8,True,Perfect match
159,Shivers,Ed Sheeran,Shivers,Ed Sheeran,50nfwKoDiSYg8zOCREWAm5,True,Perfect match
160,Pick Me Up,Gabby Barrett,Pick Me Up,Gabby Barrett,2jB7EAkahL97QysjRYecTS,True,Perfect match
161,Wonderful Christmastime,Paul McCartney,Wonderful Christmastime,Paul McCartney,1SV1fxF65n9NhRHp3KlBuu,True,Perfect match
162,Little Saint Nick,The Beach Boys,Little Saint Nick,The Beach Boys,5xlS0QkVrSH7ssEbBgBzbM,True,Perfect match
163,Run Rudolph Run,Chuck Berry,Run Rudolph Run,Chuck Berry,2pnPe4pJtq7689i5ydzvJJ,True,Perfect match
164,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,Santa Baby,Eartha Kitt,1foCxQtxBweJtZmdxhEHVO,True,Perfect match
165,Blue Christmas,Elvis Presley,Blue Christmas,Elvis Presley,3QiAAp20rPC3dcAtKtMaqQ,True,Perfect match
166,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,GDFR,Flo Rida;Sage The Gemini;Lookas,,False,Artist matches but title differs: 'G.D.F.R.' vs 'GDFR'
167,Rockstar,DaBaby Featuring Roddy Ricch,ROCKSTAR,DaBaby;Roddy Ricch,,True,Perfect match
168,Linus And Lucy (Peanuts Theme),Vince Guaraldi Trio,Linus And Lucy,Vince Guaraldi Trio,,False,Artist matches but title differs: 'Linus And Lucy (Peanuts Theme)' vs 'Linus And Lucy'
169,Rain Is A Good Thing,Luke Bryan,Rain Is A Good Thing,Luke Bryan,1YhFtqwcN138S6ng3MT1nN,True,Perfect match
170,E.T.,Katy Perry Featuring Kanye West,E.T.,Katy Perry,,True,Perfect match
171,Born This Way,Lady Gaga,Born This Way,Lady Gaga,30XU4suKzCeoCK9YFzdufg,True,Perfect match
172,God's Country,Blake Shelton,God's Country,Blake Shelton,4TCeFZNjGNQIpCuZmJkkE2,True,Perfect match
173,If I Can't Have You,Shawn Mendes,If I Can't Have You,Shawn Mendes,2bT1PH7Cw3J9p3t7nlXCdh,True,Perfect match
174,Singles You Up,Jordan Davis,Singles You Up,Jordan Davis,4LiMQ6G9n84rDUBs9wtwz6,True,Perfect match
175,Dura,Daddy Yankee,Dura,Daddy Yankee,6KuqAtoeVzxAYOaMveLNpH,True,Perfect match
176,In My Blood,Shawn Mendes,In My Blood,Shawn Mendes,2QZ7WLBE8h2y1Y5Fb8RYbH,True,Perfect match
177,Be Careful,Cardi B,Be Careful,Cardi B,2Yl4OmDby9iitgNWZPwxkd,True,Perfect match
178,Bad Liar,Selena Gomez,Bad Liar,Selena Gomez,2fZQIJew3nkNe99s2PKzul,True,Perfect match
179,How Not To,Dan + Shay,How Not To,Dan + Shay,4n0xztUAbHPUV8G3NQvF30,True,Perfect match
180,The Cure,Lady Gaga,The Cure,Lady Gaga,34oB5r0lcN3fYWCs2uA1k5,True,Perfect match
181,Tunnel Vision,Kodak Black,Tunnel Vision,Kodak Black,4Q3N4Ct4zCuIHuZ65E3BD4,True,Perfect match
182,Body Like A Back Road,Sam Hunt,Body Like A Back Road,Sam Hunt,7FpBQ067pHB67deawpbbcY,True,Perfect match
183,Issues,Julia Michaels,Issues,Julia Michaels,7vu0JkJh0ldukEYbTVcqd0,True,Perfect match
184,One Call Away,Charlie Puth,One Call Away,Charlie Puth,5MwIGPDKeDb7SpblcaQP6O,True,Perfect match
185,Sorry,Justin Bieber,Sorry,Justin Bieber,09CtPGIpYB4BrO8qb1RGsF,True,Perfect match
186,Bright,Echosmith,Bright,Echosmith,3WKg25vrbjJlkhsgl2W4p3,True,Perfect match
187,On Top Of The World,Imagine Dragons,On Top Of The World,Imagine Dragons,213x4gsFDm04hSqIUkg88w,True,Perfect match
188,Hey Pretty Girl,Kip Moore,Hey Pretty Girl,Kip Moore,75p6fgACKYIyIhsoG411SZ,True,Perfect match
189,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,2E43WFS4rRc09za2r2GmZl,True,Perfect match
190,Come & Get It,Selena Gomez,Come & Get It,Selena Gomez,6LoQHIo74tOzQ8EsLEkhgF,True,Perfect match
191,Little Talks,Of Monsters and Men,Little Talks,Of Monsters and Men,2ihCaVdNZmnHZWt0fvAM7B,True,Perfect match
192,Wanted,Hunter Hayes,Wanted,Hunter Hayes,0f1svjHSiaCJif6noKKVHa,True,Perfect match
193,After A Few,Travis Denning,After A Few,Travis Denning,1z6wl2rwKatfmza6usanWw,True,Perfect match
194,Unsteady,X Ambassadors,Unsteady,X Ambassadors,7lGKEWMXVWWTt3X71Bv44I,True,Perfect match
195,Therefore I Am,Billie Eilish,Therefore I Am,Billie Eilish,20R4HfKloPKgXDqU7UKk3x,True,Perfect match
196,Tyler Herro,Jack Harlow,Tyler Herro,Jack Harlow,3w1WjD2zJqjBjDz5fwqQPJ,True,Perfect match
197,Whatever It Takes,Imagine Dragons,Whatever It Takes,Imagine Dragons,6Qn5zhYkTa37e91HC1D7lb,True,Perfect match
198,Rude,MAGIC!,Rude,MAGIC!,6RtPijgfPKROxEzTHNRiDp,True,Perfect match
199,Rolling In The Deep,Adele,Rolling in the Deep,Adele,4OSBTYWVwsQhGLF9NHvIbR,True,Perfect match
200,Not Afraid,Eminem,Not Afraid,Eminem,7Ie9W94M7OjPoZVV216Xus,True,Perfect match
201,Kings & Queens,Ava Max,Kings & Queens,Ava Max,7a53HqqArd4b9NF4XAmlbI,True,Perfect match
202,Thousand Miles,The Kid LAROI,Thousand Miles,The Kid LAROI,1r8ZCjfrQxoy2wVaBUbpwg,True,Perfect match
203,Golden Hour,JVKE,golden hour,JVKE,5odlY52u43F5BjByhxg7wg,True,Perfect match
204,All Of Me,John Legend,All of Me,John Legend,3U4isOIWM3VvDubwSI3y7a,True,Perfect match
205,Unforgettable,French Montana Featuring Swae Lee,Unforgettable,French Montana;Swae Lee,,True,Perfect match
206,Baby,Justin Bieber Featuring Ludacris,Baby,Justin Bieber;Ludacris,,True,Perfect match
207,Look At Me!,XXXTENTACION,Look At Me!,XXXTENTACION,7floNISpH8VF4z4459Qo18,True,Perfect match
208,Ride,Twenty One Pilots,Ride,Twenty One Pilots,2Z8WuEywRWYTKe1NybPQEW,True,Perfect match
209,Classic,MKTO,Classic,MKTO,6FE2iI43OZnszFLuLtvvmg,True,Perfect match
210,Summer,Calvin Harris,Summer,Calvin Harris,6YUTL4dYpB9xZO5qExPf05,True,Perfect match
211,Just The Way You Are,Bruno Mars,Just the Way You Are,Bruno Mars,47Slg6LuqLaX0VodpSCvPt,True,Perfect match
212,Dynamite,BTS,Dynamite,BTS,5QDLhrAOJJdNAmCTJ8xMyW,True,Perfect match
213,Positions,Ariana Grande,positions,Ariana Grande,35mvY5S1H3J2QZyna3TFe0,True,Perfect match
214,Yet To Come,BTS,Yet To Come,BTS,10SRMwb9EuVS1K9rYsBfHQ,True,Perfect match
215,New Rules,Dua Lipa,New Rules,Dua Lipa,2ekn2ttSfGqwhhate0LSR0,True,Perfect match
216,Everybody Talks,Neon Trees,Everybody Talks,Neon Trees,2iUmqdfGZcHIhS3b9E9EWq,True,Perfect match
217,Set Fire To The Rain,Adele,Set Fire to the Rain,Adele,3di5hcvxxciiqwMH1jarhY,True,Perfect match
218,Call Me Maybe,Carly Rae Jepsen,Call Me Maybe,Carly Rae Jepsen,20I6sIOMTCkB6w7ryavxtO,True,Perfect match
219,Without You,The Kid LAROI,WITHOUT YOU,The Kid LAROI,1KMkcUvF7m3SDChDOa7i5L,True,Perfect match
220,This Is What You Came For,Calvin Harris Featuring Rihanna,This Is What You Came For,Calvin Harris;Rihanna,,True,Perfect match
221,Shape Of You,Ed Sheeran,Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,True,Perfect match
222,There's Nothing Holdin' Me Back,Shawn Mendes,There's Nothing Holdin' Me Back,Shawn Mendes,7JJmb5XwzOO8jgpou264Ml,True,Perfect match
223,Wake Me Up!,Avicii,Wake Me Up,Avicii,0nrRP2bk19rLc0orkWPQk2,True,Perfect match
224,Toxicity,System of a Down,Toxicity,System Of A Down,0snQkGI5qnAmohLE7jTsTn,True,Perfect match
225,Easy On Me,Adele,Easy On Me,Adele,46IZ0fSY2mpAiktS3KOqds,True,Perfect match
226,Ride It.,Regard,Ride It,Regard,2tnVG71enUj33Ic2nFN6kZ,True,Perfect match
227,Don't Start Now,Dua Lipa,Don't Start Now,Dua Lipa,3PfIrDoz19wz7qK7tYeu62,True,Perfect match
228,Heat Waves,Glass Animals,Heat Waves,Glass Animals,3USxtqRwSYz57Ewm6wWRMp,True,Perfect match
229,Whiskey Glasses,Morgan Wallen,Whiskey Glasses,Morgan Wallen,57TEkZN3f84tFJFHFrD4pO,True,Perfect match
230,High Hopes,Panic! At The Disco,High Hopes,Panic! At The Disco,1rqqCSm0Qe4I9rUvWncaom,True,Perfect match
231,Sweet But Psycho,Ava Max,Sweet but Psycho,Ava Max,7DnAm9FOTWE3cUvso43HhI,True,Perfect match
232,Sucker,Jonas Brothers,Sucker,Jonas Brothers,22vgEDb5hykfaTwLuskFGD,True,Perfect match
233,Everything I Wanted,Billie Eilish,everything i wanted,Billie Eilish,3ZCTVFBt2Brf31RLEnCkWJ,True,Perfect match
234,Need To Know,Doja Cat,Need to Know,Doja Cat,3Vi5XqYrmQgOYBajMWSvCi,True,Perfect match
235,"Hey, Soul Sister",Train,"Hey, Soul Sister",Train,4HlFJV71xXKIGcU3kRyttv,True,Perfect match
236,The Kind Of Love We Make,Luke Combs,The Kind of Love We Make,Luke Combs,48UKTR66uUOT9LaUvooTNx,True,Perfect match
237,N95,Kendrick Lamar,N95,Kendrick Lamar,0fX4oNGBWO3dSGUZcVdVV2,True,Perfect match
238,Wasted On You,Morgan Wallen,Wasted On You,Morgan Wallen,5YanmSgudc0CaxZrn40YnM,True,Perfect match
239,Closer,The Chainsmokers Featuring Halsey,Closer,The Chainsmokers;Halsey,,True,Perfect match
240,Payphone,Maroon 5 Featuring Wiz Khalifa,Payphone,Maroon 5;Wiz Khalifa,,True,Perfect match
241,7 Rings,Ariana Grande,7 rings,Ariana Grande,6ocbgoVGwYJhOv1GgI9NsF,True,Perfect match
242,Bad Guy,Billie Eilish,bad guy,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m,True,Perfect match
243,God's Plan,Drake,God's Plan,Drake,6DCZcSspjsKoFjzjrWoCdn,True,Perfect match
244,Goosebumps,Travis Scott,goosebumps,Travis Scott,6gBFPUFcJLzWGx4lenP6h2,True,Perfect match
245,Humble.,Kendrick Lamar,HUMBLE.,Kendrick Lamar,7KXjTSCq5nL1LoYtL7XAwS,True,Perfect match
246,Love Yourself,Justin Bieber,Love Yourself,Justin Bieber,50kpGaPAhYJ3sGmk6vplg0,True,Perfect match
247,Demons,Imagine Dragons,Demons,Imagine Dragons,5qaEfEh1AtSdrdrByCP7qR,True,Perfect match
248,What Makes You Beautiful,One Direction,What Makes You Beautiful,One Direction,4cluDES4hQEUhmXj6TXkSo,True,Perfect match
249,Pumped Up Kicks,Foster the People,Pumped Up Kicks,Foster The People,7w87IxuO7BDcJ3YUqCyMTT,True,Perfect match
250,You Broke Me First.,Tate McRae,you broke me first,Tate McRae,4l0RmWt52FxpVxMNni6i63,True,Perfect match
251,Levitating,Dua Lipa,Levitating,Dua Lipa,5nujrmhLynf4yMoMtj8AQF,True,Perfect match
252,Safe And Sound,Capital Cities,Safe And Sound,Capital Cities,5JVbvCHX10U2pLa5DEqGav,True,Perfect match
253,Counting Stars,OneRepublic,Counting Stars,OneRepublic,2tpWsVSb9UEmDRxAl1zhX1,True,Perfect match
254,Story Of My Life,One Direction,Story of My Life,One Direction,4nVBt6MZDDP6tRVdQTgxJg,True,Perfect match
255,Shut Up And Dance,Walk the Moon,Shut Up and Dance,WALK THE MOON,4kbj5MwxO1bq9wjT5g9HaA,True,Perfect match
256,Oh My God,Adele,Oh My God,Adele,3Kkjo3cT83cw09VJyrLNwX,True,Perfect match
257,Victoria's Secret,Jax,Victoria’s Secret,Jax,4svaKoxMMP7ImmKrD5hfQu,False,Artist matches but title differs: 'Victoria's Secret' vs 'Victoria’s Secret'
258,Death Bed,Powfu Featuring beabadoobee,death bed (coffee for your head),Powfu;beabadoobee,,False,Artist matches but title differs: 'Death Bed' vs 'death bed (coffee for your head)'
259,Blank Space,Taylor Swift,Blank Space,Taylor Swift,1u8c2t2Cy7UBoG4ArRcF5g,True,Perfect match
260,Photograph,Ed Sheeran,Photograph,Ed Sheeran,1HNkqx9Ahdgi1Ixy2xkKkL,True,Perfect match
261,Stressed Out,Twenty One Pilots,Stressed Out,Twenty One Pilots,3CRDbSIZ4r5MsZ0YwxuEkn,True,Perfect match
262,Say You Won't Let Go,James Arthur,Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,True,Perfect match
263,Thunder,Imagine Dragons,Thunder,Imagine Dragons,1zB4vmk8tFRmM9UULNzbLB,True,Perfect match
264,She Had Me At Heads Carolina,Cole Swindell,She Had Me At Heads Carolina,Cole Swindell,200x8ONbPfFzByUr3fVz46,True,Perfect match
265,Memories,Maroon 5,Memories,Maroon 5,4cktbXiXOapiLBMprHFErI,True,Perfect match
266,Moonlight,XXXTENTACION,Moonlight,XXXTENTACION,0JP9xo3adEtGSdUEISiszL,True,Perfect match
267,I Like Me Better,Lauv,I Like Me Better,Lauv,4MagTPnkPiDuIa4P8GtW1b,True,Perfect match
268,Sad!,XXXTENTACION,SAD!,XXXTENTACION,3ee8Jmje8o58CHK66QrVC2,True,Perfect match
269,Attention,Charlie Puth,Attention,Charlie Puth,5cF0dROlMOK5uNZtivgu50,True,Perfect match
270,Mask Off,Future,Mask Off,Future,0VgkVdmE4gld66l8iyGjgx,True,Perfect match
271,That's What I Like,Bruno Mars,That's What I Like,Bruno Mars,0KKkJNfGyhkQ5aFogxQAPU,True,Perfect match
272,Take Me To Church,Hozier,Take Me To Church,Hozier,3dYD57lRAUcMHufyqn9GcI,True,Perfect match
273,One Last Time,Ariana Grande,One Last Time,Ariana Grande,50rGbTr2wrWnlIelPQxi87,True,Perfect match
274,Sicko Mode,Travis Scott,SICKO MODE,Travis Scott,2xLMifQCjDGFmkHkpNLD9h,True,Perfect match
275,Chandelier,Sia,Chandelier,Sia,4VrWlk8IQxevMvERoX08iC,True,Perfect match
276,Radioactive,Imagine Dragons,Radioactive,Imagine Dragons,62yJjFtgkhUrXktIoSjgP2,True,Perfect match
277,Cheap Thrills,Sia Featuring Sean Paul,Cheap Thrills,Sia,,True,Perfect match
278,Sunday Best,Surfaces,Sunday Best,Surfaces,1qYKWcEOrh2tM8PlgIm8K1,True,Perfect match
279,Don't Call Me Up,Mabel,Don't Call Me Up,Mabel,5WHTFyqSii0lmT9R21abT8,True,Perfect match
280,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,Lil Nas X,,False,Title matches but artist differs: 'Lil Nas X Featuring Billy Ray Cyrus' vs 'Lil Nas X'
281,Fight Song,Rachel Platten,Fight Song,Rachel Platten,37f4ITSlgPX81ad2EvmVQr,True,Perfect match
282,Who Says,Selena Gomez & The Scene,Who Says,Selena Gomez & The Scene,3TcL0dyCMyr0kyTTc4NLgI,True,Perfect match
283,Put Your Records On,Ritt Momney,Put Your Records On,Ritt Momney,6AGOKlMZWLCaEJGnaROtF9,True,Perfect match
284,So Good,Halsey,So Good,Halsey,6kxaaIeowajN7w21PfMLbu,True,Perfect match
285,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,38T0tPVZHcPZyhtOcCP7pF,True,Perfect match
286,Vegas,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,0hquQWY3xvYqN4qtiquniF,False,Artist matches but title differs: 'Vegas' vs 'Vegas (From the Original Motion Picture Soundtrack ELVIS)'
287,Fancy Like,Walker Hayes,Fancy Like,Walker Hayes,58UKC45GPNTflCN6nwCUeF,True,Perfect match
288,About Damn Time,Lizzo,About Damn Time,Lizzo,6HMtHNpW6YPi1hrw9tgF8P,True,Perfect match
289,Call Out My Name,The Weeknd,Call Out My Name,The Weeknd,09mEdoA6zrmBPgTEN5qXmN,True,Perfect match
290,Thank God,Kane Brown With Katelyn Brown,Thank God,Kane Brown;Katelyn Brown,,True,Perfect match
291,Watermelon Sugar,Harry Styles,Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,True,Perfect match
292,Break My Heart,Dua Lipa,Break My Heart,Dua Lipa,017PF4Q3l4DBUiWoXk4OWT,True,Perfect match
293,Without Me,Halsey,Without Me,Halsey,6FZDfxM3a3UCqtzo5pxSLZ,True,Perfect match
294,Human,Rag'n'Bone Man,Human,Rag'n'Bone Man,58zsLZPvfflaiIbNWoA22O,True,Perfect match
295,Until I Found You,Stephen Sanchez,Until I Found You,Stephen Sanchez,6VhuP99TE6gYNQRJIlAWFD,True,Perfect match
296,Blinding Lights,The Weeknd,Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,True,Perfect match
297,Midnight City,M83.,Midnight City,M83,6GyFP1nfCDB8lbD2bG0Hq9,True,Perfect match
298,I Hope,Gabby Barrett Featuring Charlie Puth,I Hope,Gabby Barrett,,True,Perfect match
299,Last Christmas,Wham!,Last Christmas,Wham!,2FRnf9qhLbvw8fu4IBXx78,True,Perfect match
300,Efecto,Bad Bunny,Efecto,Bad Bunny,5Eax0qFko2dh7Rl2lYs3bx,True,Perfect match
301,I Ain't Worried,OneRepublic,I Ain't Worried,OneRepublic,4h9wh7iOZ0GGn8QVp4RAOB,True,Perfect match
302,As It Was,Harry Styles,As It Was,Harry Styles,4Dvkj6JhhA12EX05fT7y2e,True,Perfect match
303,Glimpse Of Us,Joji,Glimpse of Us,Joji,2mlNgAeIBnL78ZriXgrRHz,True,Perfect match
304,Moscow Mule,Bad Bunny,Moscow Mule,Bad Bunny,6Xom58OOXk2SoU711L2IXO,True,Perfect match
305,The Bones,Maren Morris,The Bones,Maren Morris,7yFhA2fUsL2oIMWlw5DaHQ,True,Perfect match
306,Stitches,Shawn Mendes,Stitches,Shawn Mendes,5jsw9uXEGuKyJzs0boZ1bT,True,Perfect match
307,In Case You Didn't Know,Brett Young,In Case You Didn't Know,Brett Young,10M2Ex445zw585Ducldzkw,True,Perfect match
308,Super Freaky Girl,Nicki Minaj,Super Freaky Girl,Nicki Minaj,4C6Uex2ILwJi9sZXRdmqXp,True,Perfect match
309,Play It Again,Luke Bryan,Play It Again,Luke Bryan,03fT3OHB9KyMtGMt2zwqCT,True,Perfect match
310,Burn It Down,Linkin Park,BURN IT DOWN,Linkin Park,7oVEtyuv9NBmnytsCIsY5I,True,Perfect match
311,Next Thing You Know,Jordan Davis,Next Thing You Know,Jordan Davis,39OclE5hZematADrdfaWvE,True,Perfect match
312,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,Blurred Lines,Robin Thicke;T.I.;Pharrell Williams,,True,Perfect match
313,Mine,Bazzi,Mine,Bazzi,7uzmGiiJyRfuViKKK3lVmR,True,Perfect match
314,Fake Love,BTS,FAKE LOVE,BTS,6m1TWFMeon7ai9XLOzdbiR,True,Perfect match
315,Renegades,X Ambassadors,Renegades,X Ambassadors,0fYVliAYKHuPmECRs1pbRf,True,Perfect match
316,Let Her Go,Passenger,Let Her Go,Passenger,5kWcIgj5CszKQBB0Lg7sGY,True,Perfect match
317,Pillowtalk,ZAYN,PILLOWTALK,ZAYN,0PDUDa38GO8lMxLCRc4lL1,True,Perfect match
318,Rock And A Hard Place,Bailey Zimmerman,Rock and A Hard Place,Bailey Zimmerman,1TE8AAk9koG0UJco6ZAUfx,True,Perfect match
319,Love Me Like You Do,Ellie Goulding,Love Me Like You Do,Ellie Goulding,3zHq9ouUJQFQRf3cm1rRLu,True,Perfect match
320,Me And My Broken Heart,Rixton,Me And My Broken Heart,Rixton,1oew3nFNY3vMacJAsvry0S,True,Perfect match
321,Locked Out Of Heaven,Bruno Mars,Locked out of Heaven,Bruno Mars,3w3y8KPTfNeOKPiqUTakBh,True,Perfect match
322,Beautiful Crazy,Luke Combs,Beautiful Crazy,Luke Combs,2rxQMGVafnNaRaXlRMWPde,True,Perfect match
323,Perfect,Ed Sheeran,Perfect,Ed Sheeran,0tgVpDi06FyKpA1z0VMD4v,True,Perfect match
324,Ho Hey,The Lumineers,Ho Hey,The Lumineers,0DwClY2t9YAWHBROMIgrXb,True,Perfect match
325,Tongue Tied,Grouplove,Tongue Tied,Grouplove,0GO8y8jQk1PkHzS31d699N,True,Perfect match
326,Hot Girl Bummer,Blackbear,hot girl bummer,blackbear,6jRq8gaZhMUyy5RclRPcAf,True,Perfect match
