index,source_title,source_artist,spotify_name,spotify_artists,track_id,matches,reason
1129,Mirabels Cumbia,Germaine Franco,Mirabel's Cumbia,Germaine Franco,1Jc4XBMWl3RMtxdCDPH942,False,Artist matches but title differs: 'Mirabels Cumbia' vs 'Mirabel's Cumbia'
1130,Zombie,Fela Kuti,Zombie,Fela Kuti,3RZoPvPHZsPTTc94DfWSCL,True,Perfect match
1131,My Names MC Rick,MC Rick,My Names Mc Rick,MC Rick,2tWjvpYWAjhzwHsuuvC9gM,True,Perfect match
1132,CONVERSAR COM O MAR,Flora Matos,CONVERSAR COM O MAR,Flora Matos,0NPQCs25OPNgYOFhCXL8kk,True,Perfect match
1133,Ships in the Night,Mat Kearney,Ships In The Night,Mat Kearney,41XVcLXrmbxiV0mJASJxov,True,Perfect match
1134,The Scientist,Corinne Bailey Rae,The Scientist,Corinne Bailey Rae,7tn1tcxenMwDXrYTOjS3z1,True,Perfect match
1135,Let In The Light,Moderat,Let in the Light,Moderat,3tPaCziFdHU7tkMEOspYgl,True,Perfect match
1136,Bird,Billie Marten,Bird,Billie Marten,6DzvC1VHpyTFfLBbAYBa7W,True,Perfect match
1137,Gravedigger,Koe Wetzel,Gravedigger,Koe Wetzel,1NoGgCGfH2Kg4p8DvWaFca,True,Perfect match
1138,​bedroom community,glass beach,bedroom community,glass beach,4HJc004qYXE9zsG6PfTFFj,True,Perfect match
1139,Jet Lag,Gavin Haley,Jet Lag,Gavin Haley,4nDNTISVKzP3YjW4vvW1B1,True,Perfect match
1140,I’ll See You in My Dreams,Django Reinhardt,I'll See You in My Dreams,Django Reinhardt,52yEkn1b6BiOZad3x7x6PP,False,Artist matches but title differs: 'I’ll See You in My Dreams' vs 'I'll See You in My Dreams'
1141,Jeete Hain Chal,Kavita Seth,Jeete Hain Chal,Kavita Seth,7kl1KAzW5O4gOAesaHxiq0,True,Perfect match
1142,Still Loving,Andrea Roma,Still Loving,Andrea Roma;Leusin,16LSXbobYBqw92c8DDEfS1,True,Perfect match
1143,X10,Koffee,x10,Koffee,2dEmlFeRSciR2qOJRsBh7N,True,Perfect match
1144,Tujhe Dekha To,Lata Mangeshkar,Tujhe Dekha To,Lata Mangeshkar;Kumar Sanu,6dFQ3W3xuG4ll7cNjIsN2Q,True,Perfect match
1145,Undenied,Portishead,Undenied,Portishead,25G1w3E4OMrovtPE5F510g,True,Perfect match
1146,Bir Çok Kez Öldüm,Sagopa Kajmer,Bir çok Kez Öldüm,Sagopa Kajmer,42dmx5VU5Se0SkoDq5vMB0,True,Perfect match
1147,On My Own,TroyBoi,On My Own,TroyBoi;Nefera,0Oe98pXkRP4PtUWdKWkHZo,True,Perfect match
1148,I Love My Life,Demarco,I Love My Life,Demarco,6S0nwCOEAftiihy73YVDnl,True,Perfect match
1149,​hate will never win,XXXTENTACION,hate will never win,XXXTENTACION,0fWkWSpXp1V8nWslbA25Sg,True,Perfect match
1150,Amazing Grace,for KING & COUNTRY,Amazing Grace,for KING & COUNTRY;Rebecca St. James,0tXaXcuDbaX0Jhzns45Gx5,True,Perfect match
1151,Llegan Ya,Millonario,Llegan Ya,Millonario,1xwhDD7Ksuzs4bxVNCyYsX,True,Perfect match
1152,Torch of Liberty,KANA-BOON,Torch of Liberty,KANA-BOON,3YblgwBrb747gUzuh2CgYF,True,Perfect match
1153,Hows The Heart?,Nightwish,How's the Heart?,Nightwish,6lkVbijlh932FSS2I0gDrR,False,Artist matches but title differs: 'Hows The Heart?' vs 'How's the Heart?'
1154,Suno Na Sangemarmar,Arijit Singh,Suno- Na Sangemarmar,Arijit Singh,0RrR3wg4ezBVwm7lyeybir,True,Perfect match
1155,Here,CASTLEBEAT,Here,CASTLEBEAT,3mGs8a5zkfGyQQBA8vB13q,True,Perfect match
1156,I Feel Free,Cream,I Feel Free,Cream,62nYkaIBesfvQSSwTjPnYS,True,Perfect match
1157,Puro Malte,Murilo Huff,Puro Malte,Murilo Huff,5LrskmGXNS6EsDLzPt9CD6,True,Perfect match
1158,In Your Arms,Sunbeam Sound Machine,In Your Arms,Sunbeam Sound Machine,2DgaPZppYXSYGCaBceXfTw,True,Perfect match
1159,Guardians of Asgaard,Amon Amarth,Guardians Of Asgaard,Amon Amarth,2DR9AzDhYeStkHupvU08FC,True,Perfect match
1160,Walked In,Kevin Powers,Walked In,Kevin Powers,10sX7AMZOVbM2N0FruoDZS,True,Perfect match
1161,Black Gives Way to Blue,Alice in Chains,Black Gives Way To Blue,Alice In Chains,78iMIaSjeVlUoNa7rehPOU,True,Perfect match
1162,Voices,Cheap Trick,Voices,Cheap Trick,3ao7thlAYIVPJw3e1u51PE,True,Perfect match
1163,When It Falls,Zero 7,When It Falls,Zero 7,3mg2jVzYi0DzAiOhsL2hkE,True,Perfect match
1164,Evil Angel,Breaking Benjamin,Evil Angel,Breaking Benjamin,6HDBZFpozQsnYZ88ic250y,True,Perfect match
1165,Aaina,Afkap,Aaina,AFKAP,5SAgi6ZXqpCWQADP8XyRDY,True,Perfect match
1166,Everything’s Alright,conscience,Everything's Alright,conscience,3JXsIGWUG94RE2lMhu2OlE,False,Artist matches but title differs: 'Everything’s Alright' vs 'Everything's Alright'
