track_name,artists,peak_position,first_chart_date,last_chart_date,n_chart_appearances,n_distinct_charts,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,playlistname,peak_charts
Thunderstruck,AC/DC,8,,,1,1,The Razors Edge,84,292880,False,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,4,hard-rock,,List of best-selling singles
Titanium (feat. Sia),David Guetta;Sia,30,2012-06-02,2012-06-02,1,1,Nothing but the Beat (Ultimate Edition),80,245040,False,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,4,dance,,hot-100
To Be Loved By You,Parker McCollum,83,2022-01-01,2022-01-01,1,1,Gold Chain Cowboy (Special Edition),43,199680,False,0.475,0.805,10,-4.456,1,0.0377,0.000453,0.0,0.143,0.488,145.976,4,country,,hot-100
Tongue Tied,Grouplove,74,2012-06-02,2012-06-02,1,1,Never Trust a Happy Song,79,218013,False,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,4,alt-rock,Medieval Songs,hot-100
Tonight Tonight,Hot Chelle Rae,45,2011-06-04,2011-06-04,1,1,Whatever,73,200466,False,0.686,0.783,4,-4.977,1,0.119,0.0764,0.0,0.163,0.814,99.978,4,punk-rock,,hot-100
Toxicity,System Of A Down,151,2025-11-08,2025-11-08,1,1,Toxicity,81,218933,False,0.413,0.873,8,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68,3,alternative,,billboard-200
Trap Queen,Fetty Wap,3,2015-06-06,2015-06-06,1,1,Fetty Wap (Deluxe),74,222093,True,0.746,0.873,7,-3.803,1,0.128,0.0244,0.0,0.354,0.817,148.075,4,j-dance,,hot-100
Truth Hurts,Lizzo,38,2019-06-01,2019-06-01,1,1,Give You Love - Cozy Hits,1,173325,True,0.715,0.622,4,-3.046,0,0.111,0.11,0.0,0.123,0.407,158.088,4,hip-hop,,hot-100
Tunnel Vision,Kodak Black,26,2017-06-03,2017-06-03,1,1,Hiphopowe nowości,0,268186,True,0.497,0.489,11,-7.724,0,0.294,0.0576,9.91e-05,0.122,0.231,171.853,4,hip-hop,,hot-100
Tyler Herro,Jack Harlow,76,2021-01-02,2021-01-02,1,1,Thats What They All Say,74,156578,True,0.792,0.793,5,-6.185,0,0.0841,0.0872,0.0,0.22,0.775,123.031,4,k-pop,,hot-100
Uma Thurman,Fall Out Boy,70,2015-06-06,2015-06-06,1,1,Helloween Party,2,211573,False,0.623,0.961,4,-2.616,0,0.0869,0.102,0.000171,0.264,0.668,149.963,4,emo,,hot-100
Un Ratito,Bad Bunny,84,2022-07-02,2022-07-02,1,1,Un Verano Sin Ti,87,176936,False,0.787,0.546,0,-7.094,0,0.0532,0.305,4.55e-05,0.122,0.222,93.05,4,latino,,hot-100
Under The Influence,Chris Brown,39,2023-01-07,2023-07-01,2,1,Indigo (Extended),96,184613,True,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,4,dance,,hot-100
Unforgettable,French Montana;Swae Lee,24,2017-06-03,2017-06-03,1,1,Jungle Rules,82,233901,True,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,4,hip-hop,,hot-100
Unsteady,X Ambassadors,99,2016-06-04,2016-06-04,1,1,VHS,74,193546,False,0.389,0.665,0,-6.169,1,0.0644,0.178,0.000732,0.116,0.199,117.055,4,alt-rock,,hot-100
Until I Found You,Stephen Sanchez,58,2023-01-07,2023-01-07,1,1,Until I Found You,90,177720,False,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,3,pop,,hot-100
Upside Down,Diana Ross,89,,,1,1,Disco Boogie Mood,2,243493,False,0.883,0.923,0,-6.102,1,0.0757,0.145,0.0396,0.0407,0.896,108.189,4,disco,,Greatest of All Time Hot 100 Singles
Uptown Funk (feat. Bruno Mars),Mark Ronson;Bruno Mars,5,2015-06-06,2015-06-06,3,3,Uptown Special,83,269666,True,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,4,dance,,Greatest of All Time Hot 100 Singles
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,67,2022-07-02,2022-07-02,1,1,Vegas (From the Original Motion Picture Soundtrack ELVIS),90,182906,True,0.801,0.601,8,-7.574,0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,4,dance,,hot-100
Victoria’s Secret,Jax,63,2023-01-07,2023-01-07,1,1,Victoria’s Secret,82,176124,True,0.586,0.556,6,-7.639,1,0.0592,0.00655,0.0,0.0836,0.517,167.018,4,singer-songwriter,,hot-100
WAIT FOR U (feat. Drake & Tems),Future;Drake;Tems,4,2022-07-02,2022-07-02,1,1,I NEVER LIKED YOU,89,189893,True,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,4,hip-hop,,hot-100
WITHOUT YOU,The Kid LAROI,70,2021-01-02,2021-01-02,1,1,F*CK LOVE (SAVAGE),80,161384,True,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,4,hip-hop,,hot-100
Wagon Wheel,Darius Rucker,21,2013-06-01,2013-06-01,1,1,Fishing Music,1,298400,False,0.535,0.661,9,-7.139,1,0.0304,0.46,0.0,0.142,0.596,148.121,4,country,,hot-100
Wake Me Up,Avicii,28,2014-06-07,2014-06-07,2,2,True,85,247426,False,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4,dance,(y);Avicii - Wake Me Up;Avicii 2;Martin Bickham,List of best-selling singles
Want to Want Me,Jason Derulo,7,2015-06-06,2015-06-06,1,1,Running Songs,1,206280,True,0.772,0.643,0,-6.24,0,0.063,0.0102,0.0,0.0705,0.669,114.031,4,dance,,hot-100
Wanted,Hunter Hayes,77,2012-06-02,2012-06-02,1,1,Cozy Country,0,228840,False,0.414,0.475,0,-7.692,1,0.0299,0.268,0.0,0.0816,0.3,169.726,4,country,,hot-100
Wasted On You,Morgan Wallen,17,2022-07-02,2022-07-02,1,1,Dangerous: The Double Album,83,178520,False,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,3,country,,hot-100
Watermelon Sugar,Harry Styles,45,2020-06-06,2020-06-06,1,1,Fine Line,89,174000,False,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,4,pop,,hot-100
Way Out,Jack Harlow;Big Sean,89,2021-01-02,2021-01-02,1,1,New Rap Icons,0,168906,True,0.945,0.582,11,-8.357,0,0.0719,0.114,0.0,0.103,0.907,108.025,4,hip-hop,,hot-100
We Are Young (feat. Janelle Monáe),fun.;Janelle Monáe,4,2012-06-02,2012-06-02,1,1,Some Nights,77,250626,False,0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086,4,rock,,hot-100
What Makes You Beautiful,One Direction,7,2012-06-02,2012-06-02,1,1,Up All Night,84,199986,False,0.726,0.787,4,-2.494,1,0.0737,0.009,0.0,0.0596,0.888,124.99,4,pop,,hot-100
